start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
342.5,Pelvis,2400,1.4403365146852234,3.948861109825156
342.5,LeftForeArm,2400,0.6893323764702907,1.4861254271531579
342.5,RightForeArm,2400,0.5005116551188519,1.1071981407734353
342.5,LeftLowerLeg,2400,3.4931617403341573,6.354414506187735
342.5,RightLowerLeg,2400,2.3076265804346967,3.4723445085813935
352.5,Pelvis,2400,1.3938214547641496,3.614240894901001
352.5,LeftForeArm,2400,0.6032566175694819,1.537723253617426
352.5,RightForeArm,2400,0.5772843385607868,1.430805851529437
352.5,LeftLowerLeg,2400,4.560349424686377,5.910226422913669
352.5,RightLowerLeg,2400,2.41501161493654,5.19550015351935
362.5,Pelvis,2400,2.323131323774833,3.5257717343929653
362.5,LeftForeArm,2400,0.5738106544297022,1.8013620788484699
362.5,RightForeArm,2400,0.3120535489018019,0.5374401392774867
362.5,LeftLowerLeg,2400,4.870788206224238,5.3499636381458915
362.5,RightLowerLeg,2400,1.8552688148325966,2.3862023349421038
372.5,Pelvis,2400,2.122997966841848,3.448605411705556
372.5,LeftForeArm,2400,0.897255427080575,2.1566513640733396
372.5,RightForeArm,2400,0.43830223978865984,1.4794901310731055
372.5,LeftLowerLeg,2400,4.534065064989592,4.960145817838584
372.5,RightLowerLeg,2400,1.7329312683321034,2.164677554904461
382.5,Pelvis,2400,2.08583576887733,3.4133675290275813
382.5,LeftForeArm,2400,0.766007519962251,1.919655529152987
382.5,RightForeArm,2400,0.2686446130942366,0.3955575321876394
382.5,LeftLowerLeg,2400,4.421264610247017,5.106283272024391
382.5,RightLowerLeg,2400,1.6589857394552567,2.4663010363763456
392.5,Pelvis,2400,2.978477148143113,4.027865677866382
392.5,LeftForeArm,2400,0.5134207819902211,1.2167160562336694
392.5,RightForeArm,2400,0.2846563861994332,0.5919189328792263
392.5,LeftLowerLeg,2400,4.591694949574093,4.9603534967408915
392.5,RightLowerLeg,2400,1.6032894798391575,2.0129440669658916
402.5,Pelvis,2400,1.9272503175124591,3.7637094858409896
402.5,LeftForeArm,2400,0.687932416879271,1.5008872430505036
402.5,RightForeArm,2400,0.5598215910852651,1.1966558273571475
