second,native_frames,left_knee_deg_valid_count,left_knee_deg_min,left_knee_deg_median,left_knee_deg_max,right_knee_deg_valid_count,right_knee_deg_min,right_knee_deg_median,right_knee_deg_max,trunk_tilt_deg_valid_count,trunk_tilt_deg_min,trunk_tilt_deg_median,trunk_tilt_deg_max,pelvis_z_m_valid_count,pelvis_z_m_min,pelvis_z_m_median,pelvis_z_m_max
106,240,240,6.535699844360352,14.500341415405273,58.22099304199219,240,0.26466989517211914,12.461808204650879,36.3946647644043,240,2.8432416915893555,4.047454357147217,7.740045070648193,240,1.067383050918579,1.0924129486083984,1.102012038230896
107,240,240,14.745002746582031,32.44120407104492,36.42724609375,240,13.000378608703613,14.94106674194336,23.981691360473633,240,2.2114274501800537,2.7611618041992188,3.672638177871704,240,1.0849239826202393,1.0884065628051758,1.1015219688415527
108,240,240,9.352988243103027,14.307411193847656,56.5108757019043,240,0.15949037671089172,16.027015686035156,48.122562408447266,240,3.709559679031372,7.1762471199035645,11.154714584350586,240,1.079854965209961,1.090649962425232,1.1013389825820923
109,240,240,0.860028088092804,8.360523223876953,59.992855072021484,240,0.19483354687690735,12.61900806427002,51.353816986083984,240,1.6208784580230713,6.105983734130859,8.25889778137207,240,1.072903037071228,1.0911660194396973,1.1095000505447388
110,240,240,1.9443058967590332,18.159778594970703,64.15213775634766,240,2.226774215698242,24.65514373779297,68.62828063964844,240,1.3772876262664795,2.700122356414795,5.619321823120117,240,1.0874580144882202,1.1328070163726807,1.160343050956726
111,240,240,4.898730278015137,33.434200286865234,67.21714782714844,240,4.282262802124023,23.482311248779297,56.947776794433594,240,1.3737308979034424,3.6608779430389404,5.813216209411621,240,1.0780279636383057,1.1075589656829834,1.1398450136184692
112,240,240,7.692532539367676,25.712995529174805,53.84421920776367,240,7.544935703277588,38.02467346191406,63.10003662109375,240,4.939393043518066,6.865184783935547,9.147204399108887,240,1.0269360542297363,1.0779814720153809,1.124459981918335
113,240,240,1.3034125566482544,21.091066360473633,60.64838790893555,240,0.49218037724494934,16.58350372314453,53.16523361206055,240,3.6984055042266846,8.042516708374023,11.94261360168457,240,1.0456030368804932,1.0725910663604736,1.1097580194473267
114,240,240,1.7015738487243652,14.507932662963867,57.567386627197266,240,0.46140071749687195,15.39970588684082,53.81538009643555,240,1.5354410409927368,4.571649551391602,7.693757057189941,240,1.0699069499969482,1.0964504480361938,1.1208529472351074
115,240,240,2.446246385574341,11.525763511657715,62.532127380371094,240,0.36584019660949707,12.151399612426758,53.620662689208984,240,1.639604926109314,3.725517988204956,6.343564510345459,240,1.0754280090332031,1.0980830192565918,1.1226969957351685
